,book_id_title,book_id,book_title,book_series,book_series_uri,isbn,isbn13,year_first_published,author,num_pages,genres,shelves,lists,num_ratings,num_reviews,average_rating,rating_distribution,adjusted_average_rating
0,10207267-volevo-i-pantaloni,10207267,Volevo I Pantaloni,Volevo i pantaloni #1,/series/205185-volevo-i-pantaloni,3125658500,9783125658509,1989.0,Lara Cardella,0.0,"['European Literature > Italian Literature', 'Fiction', 'Cultural > Italy', 'Literature > 20th Century', 'Academic > School', 'Romance', 'Drama', 'European Literature > German Literature']","{'to-read': 224, 'currently-reading': 18, 'italian': 11, 'default': 8, 'fiction': 8, 'italiano': 7, 'italy': 5, 'narrativa': 4, 'italia': 4, 'italian-books': 3, 'italian-literature': 3, 'owned-books': 3, 'owned': 3, 'in-italian': 3, '20th-century': 2, 'school': 2, 'library': 2, 'borrowed': 2, 'romance': 2, '2017': 2, 'in-italiano': 2, 'narrativa-italiana': 2, 'femminismo': 2, 'letteratura-italiana': 2, 'drama': 2, 'finished': 2, 'romanzi': 2, 'german': 2, 'italiana': 2, 'biography': 2, 'novela': 2, 'read-in-italian': 2, 'bücherschrank': 1, 'fiction-1950-today': 1, 'in-libreria': 1, 'ya-adolescenti': 1, 'family-relations': 1, 'atw-80-2022': 1, 'studium': 1, 'alle-bücher': 1, 'zimski-bingo-2021': 1, 'home-book': 1, 'anti-libreria': 1, 'prossime-letture': 1, 'tbr-ebook': 1, 'romanzi-letti': 1, 'femminismo-letti': 1, 'spanish-4y5': 1, 'weggegeben': 1, 'a-italian': 1, 'genre-fiction': 1, 'italian-reading': 1, 'z-physical': 1, 'da-comprare': 1, '2c': 1, 'camera-da-letto': 1, 'tbr-contemporary': 1, 'italian-female-writers': 1, 'di-tutto-un-po': 1, 'european': 1, 'amsterdam-bookshelf': 1, 'leoautoras': 1, 'feminismos': 1, '2021': 1, 'ebook': 1, 'read-2021': 1, 'reg': 1, '2020': 1, 'literature': 1, 'all-my-books': 1, 'angefangen': 1, '4-star-ratings': 1, '2019': 1, 'own-roman': 1, 'storie-di-donne-scritte-da-donne': 1, 'shelved-and-not-read': 1, 'in-my-library': 1, 'leído-anteriormente-2020': 1, 'läst-2020': 1, 'favorites': 1, 'δώρας': 1, 'libreria-personale': 1, 'letture-ante-2010': 1, 'in-coda': 1, 'braille-reading-challenge-2020': 1, '20th': 1, '90s': 1, 'random-books': 1, 'wishlist': 1, 'estante': 1, 'neuzeit-international': 1, 'kinder-en-jeugdboeken': 1, 'queer': 1, '2009': 1, 'internetarchive-wishlist-it': 1, 'english': 1, 'mil-folhas-de-papel': 1, 'library-ebook': 1, 'read_2019': 1, 'romane': 1}",{},779,54,3.31,"{'5 Stars': 114, '4 Stars': 213, '3 Stars': 289, '2 Stars': 128, '1 Star': 35}",2.779808136768777
1,10317790-le-pays-o-l-on-ne-meurt-jamais,10317790,Le Pays Où L'on Ne Meurt Jamais,,,1564785688,9781564785688,2004.0,Ornela Vorpsi,,"['Fiction', 'Contemporary', 'Adult', 'European Literature > Italian Literature', 'European Literature > Albanian Literature', 'Literature > European Literature', 'Short Stories', 'Literature > 21st Century', 'Historical > Historical Fiction', 'Anthologies > Collections']","{'to-read': 553, 'albania': 22, 'fiction': 20, 'wishlist': 8, 'contemporary': 7, 'around-the-world': 6, 'dalkey-archive': 6, 'currently-reading': 5, 'adult': 4, 'eastern-europe': 4, 'translated': 4, 'italian': 4, 'albanian': 4, '2020': 3, '2018': 3, 'albanian-lit': 3, 'european-literature': 3, 'library': 3, 'albanian-literature': 3, 'balkans': 3, 'short-stories': 3, '2021': 2, '2020-books-read': 2, 'around-the-world-2020': 2, '2020-reads': 2, 'minimum-fax': 2, 'italiani': 2, '2019': 2, 'borrowed': 2, '21st-century': 2, 'europe': 2, 'wish-list': 2, 'reading-around-the-world': 2, '2000s': 2, 'historical-fiction': 2, 'collections': 2, 'novel': 2, 'italian-literature': 2, 'donne': 2, 'lit-albanian': 2, 'biblioteca': 2, 'in-french': 2, 'modern-fiction': 2, 'foreign-lit': 2, 'cultures': 1, 'world-books-to-read': 1, 'medford-library-picks': 1, 'next': 1, 'albania-albanian': 1, 'central-and-eastern-europe': 1, '4-stars': 1, 'physical-copy': 1, 'europe-les-libraires': 1, 'rtw-europe': 1, '2022-reading-challenge-posibilities': 1, 'übersetzungen': 1, 'por-conseguir': 1, 'it': 1, 'wow': 1, 'lit-uni': 1, 'get': 1, 'fiction-albania': 1, 'albanian-authors': 1, 'finito': 1, 'eastern-european-women-writers': 1, 'novela': 1, 'autoras': 1, '2007-lecturas': 1, 'available-in-the-library': 1, 'zzz-lang-albanian': 1, 'zzz-al-author': 1, 'anobium-readlist': 1, 'historical': 1, 'cant-find-anywhere': 1, 'fav-covers': 1, '3-not-started': 1, 'feminist-topics': 1, 'in-translation': 1, 'womanwriters': 1, 'un-libro-un-pa-s': 1, 'prosa': 1, 'countries': 1, 'femi': 1, 'reading-women-2021': 1, '2021-reading-challenge-books': 1, 'not-interested': 1, 'south-eastern-europe': 1, 'not-my-current-cuppa': 1, '016': 1, 'fiction-to-read': 1, 'littérature-italienne': 1, 'ebooks': 1, 'girlies': 1, 'fammale': 1, 'translation': 1, 'gli-alberi-si-vendicheranno': 1, 'women_femmes-écrivains': 1, '_moyen-orient_persan_arabe_damas': 1, '_italia': 1, 'translated-women': 1}",{},425,71,3.51,"{'5 Stars': 62, '4 Stars': 150, '3 Stars': 160, '2 Stars': 48, '1 Star': 5}",3.044907425516178
2,1040119.Indisches_Nachtst_ck_und_ein_Briefwechsel,1040119,Indisches Nachtstück und ein Briefwechsel,,,0811210804,9780811210805,1984.0,Antonio Tabucchi,115.0,"['Fiction', 'European Literature > Italian Literature', 'Cultural > India', 'Cultural > Italy', 'Novels', 'Literature', 'Travel', 'Novella', 'Literature > 20th Century', 'Romance']","{'to-read': 1643, 'fiction': 53, 'currently-reading': 41, 'italian': 31, 'india': 26, 'favorites': 23, 'italy': 23, 'letteratura-italiana': 14, 'italiana': 13, 'italian-literature': 12, '2017': 11, 'owned': 11, 'narrativa': 11, 'novel': 11, 'default': 10, 'literature': 10, '2020': 9, 'italia': 9, 'ebook': 9, 'italiani': 8, 'novels': 8, 'italian-lit': 8, '2021': 7, 'itália': 7, 'own': 7, 'travel': 6, 'wishlist': 6, 'novella': 6, '2019': 5, '2015': 5, 'biblioteca': 5, 'wish-list': 5, 'italiano': 5, 'finished': 5, '20th-century': 5, 'romanzo': 4, '2018': 4, 'in-translation': 4, '2016': 4, 'tabucchi': 4, 'translated': 4, 'novellas': 4, 'romance': 4, 'narrativa-italiana': 4, 'asia': 4, '2022': 3, 'audiolibro': 3, 'audiolibri': 3, 'viaggi': 3, 'my-library': 3, 'lettura-condivisa': 3, 'to-buy': 3, 'lit-italiana': 3, 'english': 3, 'anagrama': 3, 'letteratura': 3, 'new-directions': 3, 'novela': 3, 'ficcion': 3, 'europe': 3, 'audiobooks': 2, 'uni': 2, 'da-comprare': 2, 'gialli': 2, 'contemporanei': 2, 'paper': 2, 'owned-books': 2, 'fiction-italian': 2, 'ficção': 2, 'viagens': 2, 'by-men': 2, 'sellerio': 2, 'favourites': 2, 'literary-fiction': 2, 'classics': 2, 'read-2016': 2, 'read-in-2016': 2, 're-read': 2, 'european': 2, 'university': 2, 'رمان': 2, 'around-the-world': 2, 'journey': 2, 'it': 2, '1980s': 2, 'surreal': 2, 'روايات': 2, 'not-read': 2, 'italian-classics': 2, 'libreria': 2, '2014': 2, 'books-i-own': 2, 'literatura-italiana': 2, 'translations': 2, 'riletti': 2, 'lett-italiana': 2, 'read-2012': 2, 'in-italian': 2, 'translation': 2, 'roman': 2}",{},2547,294,3.74,"{'5 Stars': 544, '4 Stars': 1046, '3 Stars': 741, '2 Stars': 185, '1 Star': 31}",3.51922366370071
3,10670432-sechs-vorschl-ge-f-r-das-n-chste-jahrtausend-harvard-vorlesungen,10670432,Sechs Vorschläge Für Das Nächste Jahrtausend Harvard Vorlesungen,,,0099730510,9780099730514,1988.0,Italo Calvino,,"['Nonfiction', 'Writing > Essays', 'Language > Writing', 'European Literature > Italian Literature', 'Literature', 'Philosophy', 'Classics', 'Criticism', 'Criticism > Literary Criticism', 'Cultural > Italy']","{'to-read': 8654, 'currently-reading': 654, 'non-fiction': 267, 'essays': 172, 'favorites': 99, 'nonfiction': 97, 'saggi': 85, 'writing': 72, 'saggistica': 66, 'italian': 64, 'literature': 62, 'wishlist': 49, 'philosophy': 47, 'owned': 45, 'letteratura-italiana': 43, 'italiani': 38, 'default': 33, 'italiana': 29, 'classics': 29, 'criticism': 28, 'literary-criticism': 26, 'essay': 26, 'own': 25, 'calvino': 23, 'italy': 23, '2021': 21, 'classici': 21, 'italian-literature': 21, 'fiction': 20, 'ebook': 19, 'critica-letteraria': 18, 'lit-crit': 18, '2019': 17, 'finished': 17, 'books-i-own': 17, 'saggio': 17, 'italo-calvino': 17, 'to-buy': 16, 'italia': 16, '2020': 15, 'italian-lit': 15, 'art': 15, 'books-about-books': 14, '2018': 13, 'owned-books': 13, '2017': 12, 'kindle': 12, 'theory': 12, 'abandoned': 11, 'autori-italiani': 11, '20th-century': 11, 'on-writing': 11, '2016': 10, 'preferiti': 10, 'library': 10, 'narrativa': 10, 'wish-list': 10, 'in-libreria': 9, 'letteratura': 9, 'bookshelf': 8, '2015': 8, 'università': 8, '2012': 8, 'italiano': 8, 'translated': 8, 'audiolibri': 7, 'ebooks': 7, 'ensayo': 7, 'lit': 7, '2022': 6, 'audiobook': 6, 'biblioteca': 6, 'books-on-books': 6, 'favorite': 6, 'to-read-nonfiction': 6, 'school': 6, '2014': 6, 'collection': 6, 'books': 6, '2013': 6, 'my-library': 6, 'europe': 6, 'non-fic': 6, 'my-books': 6, 'language': 6, 'literary-theory': 6, 'libreria': 5, 'favourites': 5, 'unfinished': 5, 'to-read-non-fiction': 5, 'da-comprare': 5, '1980s': 5, 'university': 5, 'lett-italiana': 5, 'personal-library': 5, 'filosofia': 5, 'narrativa-italiana': 5, 'oulipo': 5, 'ensaio': 5, 'writing-books': 5}",{},7690,546,4.22,"{'5 Stars': 3453, '4 Stars': 2772, '3 Stars': 1202, '2 Stars': 215, '1 Star': 48}",4.078736499962755
4,10673427-rounding-the-mark,10673427,Rounding the Mark,Inspector Montalbano #7,/series/51078-inspector-montalbano,8838918600,9780143037484,2003.0,Andrea Camilleri,1.0,"['Mystery', 'Mystery > Crime', 'Cultural > Italy', 'Fiction', 'European Literature > Italian Literature', 'Mystery > Detective', 'Audiobook', 'Thriller > Mystery Thriller', 'Mystery > Noir', 'Thriller']","{'to-read': 1358, 'mystery': 164, 'currently-reading': 163, 'crime': 92, 'italy': 74, 'fiction': 68, 'montalbano': 45, 'camilleri': 40, 'default': 37, 'mysteries': 37, 'italian': 35, 'andrea-camilleri': 32, 'gialli': 31, 'owned': 24, 'series': 21, 'own': 19, 'giallo': 17, 'detective': 15, 'ebook': 15, '2021': 14, 'favorites': 14, 'crime-fiction': 13, 'audiobooks': 12, 'library': 12, 'italia': 12, 'sicily': 12, 'italiani': 12, '2019': 11, '2017': 11, '2016': 11, 'mystery-thriller': 11, 'kindle': 11, 'audiobook': 11, 'police-procedural': 11, 'inspector-montalbano': 11, '2022': 10, 'translated': 10, 'noir': 10, 'crime-mystery': 10, 'audio': 9, 'mystery-crime': 9, 'ebooks': 9, '2020': 8, '2018': 8, 'camilleri-andrea': 8, 'thriller': 8, 'letteratura-italiana': 8, 'italian-literature': 8, 'romanzo': 8, 'italiana': 8, 'narrativa': 8, 'owned-books': 7, 'sicilia': 7, 'e-book': 7, 'krimi': 6, '2015': 6, 'my-books': 6, 'detective-fiction': 6, '2013': 6, 'italiano': 6, 'narrativa-italiana': 6, 'finished': 6, 'translation': 6, 'in-translation': 5, '2014': 5, 'books-i-own': 5, 'casa': 5, 'gialli-thriller': 5, 'my-library': 5, 'sellerio': 5, 'novel': 5, '2009': 5, '2008': 5, 'commissario-montalbano': 4, 'borrowed': 4, 'europe': 4, 'policial': 4, 'italian-lit': 4, 'autori-italiani': 4, 'books': 4, 'audio-books': 4, 'favourites': 4, 'calibre': 4, 'romanzi': 4, 'policier': 4, 'have': 4, 'audiolibro': 3, 'camilleri-andréa': 3, 'αστυνομικά': 3, 'camilleri-montalbano': 3, 'italien': 3, 'crime-thriller': 3, '2000s': 3, '1': 3, 'mystery-thriller-crime': 3, 'literature': 3, 'libreria': 3, 'read-2016': 3, 'fiction-crime': 3, 'e-books': 3}",{},5349,318,4.08,"{'5 Stars': 1686, '4 Stars': 2540, '3 Stars': 994, '2 Stars': 113, '1 Star': 16}",3.8827518287500915
5,1124783.The_Smell_of_the_Night,1124783,The Smell of the Night,Inspector Montalbano #6,/series/51078-inspector-montalbano,0143036203,9780143036203,2001.0,Andrea Camilleri,,"['Mystery', 'Mystery > Crime', 'Cultural > Italy', 'Fiction', 'European Literature > Italian Literature', 'Mystery > Detective', 'Audiobook', 'Thriller > Mystery Thriller', 'Thriller', 'Mystery > Noir']","{'to-read': 1470, 'currently-reading': 198, 'mystery': 168, 'crime': 106, 'italy': 73, 'fiction': 64, 'montalbano': 53, 'mysteries': 42, 'italian': 40, 'camilleri': 38, 'default': 35, 'andrea-camilleri': 29, 'owned': 26, 'gialli': 25, 'own': 21, 'detective': 20, 'kindle': 17, 'library': 17, 'series': 17, 'crime-fiction': 17, 'giallo': 15, 'audiobook': 14, 'audio': 14, 'sicily': 14, '2021': 13, '2019': 13, 'audiobooks': 12, 'italian-literature': 11, '2014': 11, 'camilleri-andrea': 11, 'mystery-thriller': 11, 'ebook': 11, 'italiani': 11, '2020': 10, 'translated': 10, 'thriller': 10, 'narrativa': 10, 'inspector-montalbano': 10, '2018': 9, '2017': 9, 'noir': 9, 'police-procedural': 9, 'italia': 9, 'crime-mystery': 9, 'favorites': 9, '2016': 8, 'e-books': 8, 'my-library': 8, 'sellerio': 8, 'ebooks': 8, 'italiana': 8, 'books-i-own': 8, '2015': 7, '2013': 7, 'owned-books': 7, 'finished': 7, 'romanzo': 7, '2022': 6, 'my-books': 6, 'contemporary': 6, 'crime-thriller': 6, 'translation': 6, 'novel': 6, 'autori-italiani': 5, 'letteratura-italiana': 5, 'krimi': 5, 'policial': 5, 'detective-fiction': 5, 'audio-books': 5, 'books': 5, 'biblioteca': 5, 'fiction-mystery': 5, 'bibliotecă': 4, 'europe': 4, 'read-2016': 4, 'audio-book': 4, 'e-book': 4, 'detectives': 4, 'italian-fiction': 4, 'sicilia': 4, 'have': 4, 'colecção-mil-folhas': 4, 'narrativa-italiana': 4, 'gialli-thriller-noir': 4, '2012': 4, 'mystery-fiction': 4, 'romanzi': 4, 'mystery-crime': 4, 'international': 4, '2008': 4, 'food': 4, 'italian-authors': 3, 'novela-negra': 3, 'mistery': 3, 'libri': 3, 'camilleri-montalbano': 3, 'to-buy': 3, 'inspector-montalbano-series': 3, '1': 3, 'italiano': 3}",{},5771,375,4.02,"{'5 Stars': 1684, '4 Stars': 2704, '3 Stars': 1220, '2 Stars': 137, '1 Star': 26}",3.8361136201817647
6,11345302-alexander,11345302,Alexander,Alexandros #3,/series/62121-alexandros,0743434382,9780743434386,1998.0,Valerio Massimo Manfredi,,"['Historical > Historical Fiction', 'Fiction', 'Historical', 'War', 'Novels', 'Romance > Historical Romance', 'History > Ancient History', 'Literature', 'Roman', 'Adventure']","{'to-read': 1767, 'historical-fiction': 164, 'currently-reading': 61, 'history': 52, 'fiction': 50, 'historical': 43, 'owned': 33, 'favorites': 31, 'default': 24, 'own': 21, 'novela-histórica': 14, 'biography': 13, 'novela-historica': 13, 'war': 10, 'historic': 10, 'books-i-own': 10, 'valerio-massimo-manfredi': 8, 'owned-books': 8, 'alexander-the-great': 8, '2021': 7, 'novels': 7, 'novela': 7, 'historical-novels': 7, 'romanzo-storico': 6, 'تاريخ': 6, 'ancient-history': 6, 'ancient-greece': 6, 'literature': 6, 'historica': 6, 'historical-novel': 6, 'fiction-historical': 6, 'italiani': 5, 'my-books': 5, 'histórica': 5, '2014': 5, 'roman': 5, 'adventure': 5, 'library': 5, 'my-library': 5, 'greek': 5, 'greece': 5, 'to-buy': 5, 'storico': 5, 'novel': 5, 'italian': 5, 'historia': 5, 'ancient': 5, 'e-books': 4, '2020': 4, 'tarih': 4, 'روايات': 4, 'mythology': 4, 'home-library': 4, 'grecia': 4, 'romanzi-storici': 4, '1': 4, 'biblioteca': 4, 'novelas-históricas': 4, 'manfredi': 4, 'non-fiction': 4, 'ancient-world': 4, 'romanzo': 4, 'historic-fiction': 4, 'own-it': 3, 'fantasy': 3, 'storici': 3, 'bookshelf': 3, 'kitaplığım': 3, 'mi-biblioteca': 3, 'mis-libros': 3, 'histórico': 3, 'ebooks': 3, 'wishlist': 3, 'novelas': 3, 'owned-unread': 3, 'historic-novel': 3, 'storia': 3, 'my-bookshelf': 3, 'contemporary': 3, 'favourites': 3, 'history-fiction': 3, 'italy': 3, 'italiano': 3, 'ficcion': 3, 'tbr': 2, 'pdf': 2, 'ficción-histórica': 2, 'oudheid': 2, 'audiobooks': 2, 'tbr-2022': 2, 'the-l-library': 2, 'italia': 2, 'italian-literature': 2, 'at-home': 2, 'leidos': 2, 'narrativa': 2, 'kindle': 2, '2018': 2, 'alexandros': 2, 'asia': 2}",{},5012,147,4.14,"{'5 Stars': 2021, '4 Stars': 1918, '3 Stars': 881, '2 Stars': 159, '1 Star': 33}",3.8471239055384956
7,11448258-cave-canem,11448258,Cave canem,Publio Aurelio Stazio #3,/series/55503-publio-aurelio-stazio,8871333438,9788871333434,1993.0,Danila Comastri Montanari,283.0,"['Mystery > Crime', 'Historical > Historical Fiction', 'Historical', 'Fiction', 'Cultural > Italy', 'Mystery', 'European Literature > Italian Literature', 'Mystery > Historical Mystery', 'Thriller > Mystery Thriller']","{'to-read': 117, 'gialli': 10, 'rome': 8, 'crime': 7, 'currently-reading': 5, 'crima': 5, 'owned': 4, 'historical-fiction': 4, 'default': 4, 'historical': 4, 'narrativa': 4, 'giallo': 3, 'italy': 3, 'italiani': 3, 'publio-aurelio-stazio': 3, 'history': 3, 'mystery': 3, 'gialli-storici': 3, 'danila-comastri-montanari': 3, 'da-liberare': 2, 'before-16': 2, 'serie': 2, 'library': 2, 'italian': 2, 'mit': 2, 'giallo-storico': 2, 'historical-mystery': 2, 'detective-stories': 2, 'mystery-thriller': 2, 'libri-da-2018-a-2020': 1, 'letto-in-italiano': 1, 'skaitytos-2021': 1, 'italieni': 1, 'my-historical-mystery-shelf': 1, 'mano-knygos-lentynoje': 1, 'historique-antiquite': 1, '1__tbr__e': 1, '0-0-detective': 1, 'in-libreria-tbr': 1, 'wishlist': 1, 'classici': 1, 'pasiimti': 1, 'policier-italie': 1, 'turima': 1, 'suspense': 1, 'idk-lol': 1, 'mistery-thriller': 1, 'scaffale': 1, 'storici': 1, 'turimos-neskaitytos': 1, '2021-challenge': 1, 'letto': 1, 'rusiskai': 1, 'istorine': 1, 'detektyvas': 1, '2021': 1, '2020': 1, 'letture-fino-al-2020': 1, 'συρόμενο-2': 1, 'audible': 1, 'tyto-alba': 1, 'read-publius-aurelius-serie': 1, 'regalati': 1, '0-2-5-series-next': 1, '123456': 1, 'ed-xyz': 1, 'all-ro-books': 1, 'italiano': 1, 'fede-s-home-bookshelves': 1, 'italai': 1, 'tag-me': 1, 'witty-funny': 1, 'i-love-these-characters': 1, 'exceeded-expectations': 1, 'already-on-my-shelf': 1, 'an-1993': 1, '__to-read_e': 1, 'turiu-bet-dar-neskaičiau': 1, 'serii-neterminate': 1, 'pagini-150-300': 1, '00-add-tags': 1, 'a-4': 1, 'bookshelf': 1, 'childhood-books': 1, 'e-books': 1, '2020-reading-challenge': 1, 'polars-historiques': 1, 'polars-antiques': 1, 'biblioteca': 1, 'books': 1, 'internetarchive-wishlist-it': 1, 'novel': 1, 'publio-aurelio': 1, 'european-literature': 1, 'ebooks': 1, 'stefano': 1, 'raccolta': 1, 'to-read-someday': 1, 'author-c': 1, 'thriller-gialli-noir': 1}",{},453,30,3.61,"{'5 Stars': 88, '4 Stars': 159, '3 Stars': 157, '2 Stars': 38, '1 Star': 11}",2.895303612908906
8,11483150-la-ragazza-drago,11483150,La ragazza drago: I - L'eredità di Thuban,La ragazza drago #1,/series/61158-la-ragazza-drago,8804579242,9788804579243,2008.0,Licia Troisi,,"['Fantasy', 'Young Adult', 'Fantasy > Dragons', 'Fantasy > Urban Fantasy', 'European Literature > Italian Literature', 'Fiction', 'Childrens', 'Fantasy > Magic', 'Adventure', 'Young Adult > Young Adult Fantasy']","{'to-read': 835, 'fantasy': 194, 'currently-reading': 32, 'young-adult': 29, 'licia-troisi': 20, 'dragons': 20, 'urban-fantasy': 17, 'favorites': 16, 'owned': 15, 'ya': 14, 'la-ragazza-drago': 14, 'default': 9, 'italian': 8, 'italiani': 7, 'fiction': 7, 'books-i-own': 7, 'my-books': 6, 'fantasia': 5, 'letti': 5, 'my-library': 5, 'children': 5, 'ebook': 5, 'young-adults': 4, 'childhood': 4, '2018': 4, 'magic': 4, 'jeunesse': 4, 'libreria': 4, 'owned-books': 4, 'series': 4, 'adventure': 3, 'home': 3, 'ya-fantasy': 3, 'zuhause': 3, 'mijn-boeken': 3, 'in-libreria': 3, 'my-bookshelf': 3, 'italiano': 3, 'in-italian': 3, 'infanzia': 3, 'italian-literature': 3, 'narrativa': 3, 'italiana': 3, 'wishlist': 3, 'translated': 3, 'troisi': 3, 'ragazzi': 3, 'biblioteca': 3, 'comprati': 2, '2021': 2, 'dragon': 2, 'tbr-owned': 2, 'letteratura-italiana': 2, '2019': 2, '2000': 2, '2013': 2, 'x-children': 2, 'fantasy-sci-fi': 2, 'e-book': 2, 'abandoned': 2, 'not-english': 2, 'libri-per-ragazzi': 2, 'italia': 2, 'drachen': 2, 'ebooks': 2, 'books': 2, 'saghe': 2, 'contemporary': 2, 'unfinished-series': 2, '2016': 2, 'novels': 2, '2-stars': 2, 'library': 2, 'children-s-books': 2, 'pal': 2, 'high-fantasy': 2, 'a-italian': 2, '2015': 2, 'read-in-german': 2, 'scanned': 2, 'abbandonato': 2, 'did-not-finish': 2, '2014': 2, 'ya-books': 2, 'autori-italiani': 2, '2012': 2, 'middle-grade': 2, 'read-fantasy': 2, '2008': 2, 'read-in-italian': 2, 'italian-lit': 2, '2011': 2, '2010': 2, 'on-my-shelf': 1, 'voglio-comprare': 1, 'long-ass-series': 1, 'protagonista-femminile': 1, 'want-to-re-read': 1, 'non-english': 1, 'florence-italy': 1}",{},2820,87,3.53,"{'5 Stars': 646, '4 Stars': 824, '3 Stars': 868, '2 Stars': 342, '1 Star': 140}",3.1103801417903516
9,11747183-the-silent-duchess,11747183,The Silent Duchess,,,8817114111,9788817114110,1990.0,Dacia Maraini,236.0,"['Historical > Historical Fiction', 'Cultural > Italy', 'Fiction', 'European Literature > Italian Literature', 'Historical', 'Classics', 'Literature > 20th Century', 'Literature', 'Feminism', 'Academic > Read For School']","{'to-read': 2335, 'currently-reading': 118, 'historical-fiction': 70, 'italy': 39, 'fiction': 39, 'italian': 37, 'italian-literature': 20, 'letteratura-italiana': 19, 'italia': 18, 'italiani': 17, 'historical': 15, 'default': 14, 'narrativa': 14, '2021': 12, 'italiano': 11, 'narrativa-italiana': 11, 'favorites': 11, 'italiana': 11, 'guardian-1000': 9, 'owned': 9, 'classics': 9, 'translated': 9, 'wishlist': 9, 'own': 8, '20th-century': 8, 'finished': 8, 'literature': 8, 'autori-italiani': 7, 'libreria': 7, '2018': 6, 'feminism': 6, 'classici': 6, 'in-translation': 5, 'romanzi-storici': 5, 'ebook': 5, 'storico': 5, 'italian-lit': 5, 'kindle': 5, 'boxwalla': 4, '2017': 4, 'sicily': 4, 'rizzoli': 4, 'italian-books': 4, 'preferiti': 4, 'history': 4, 'library': 4, 'sicilia': 4, 'storici': 4, 'abandoned': 4, 'read-for-school': 4, 'da-comprare': 3, 'italian-author': 3, 'europe': 3, 'novels': 3, 'campiello': 3, 'ita': 3, 'adult-fiction': 3, 'romanzo': 3, 'to-buy': 3, '1001': 3, '1990s': 3, 'bookclub': 3, 'donne': 3, 'female-authors': 3, 'cartaceo': 3, 'books-i-own': 3, '2015': 3, '1001-libri': 3, 'audiobooks': 3, 'abbandonato': 3, '18th-century': 3, 'fiction-historical': 3, 'favorite': 3, '1000': 3, 'guardian-love': 3, 'ebooks': 3, 'wish-list': 3, 'in-italian': 3, 'disability': 3, 'lett-italiana': 3, 'in-italiano': 3, 'love': 3, 'letto': 3, 'storia': 3, 'romanzi': 3, 'literary': 3, 'libri-posseduti': 2, 'i-own': 2, 'italian-authors': 2, 'acquisti': 2, 'italian-fiction': 2, 'scrittrici': 2, '2020': 2, 'literature-italian': 2, 'classici-italiani': 2, 'abbandonati': 2, 'the-l-library': 2, 'translated-italian': 2, 'women-in-translation': 2, 'anni-90-letti': 2}",{},2445,188,3.71,"{'5 Stars': 600, '4 Stars': 917, '3 Stars': 631, '2 Stars': 217, '1 Star': 80}",3.4308215624817975
