,ISBN,item,label,authorlabel,authorlabel2,numWikipediaLanguages
0,9788845296833,http://www.wikidata.org/entity/Q172850,Il nome della rosa,,Umberto Eco,53
1,9788845278662,http://www.wikidata.org/entity/Q437791,Il pendolo di Foucault,,Umberto Eco,30
2,9788845278624,http://www.wikidata.org/entity/Q791487,Baudolino,,Umberto Eco,26
3,9788845278679,http://www.wikidata.org/entity/Q472031,L'isola del giorno prima,,Umberto Eco,22
4,9788845278631,http://www.wikidata.org/entity/Q1218385,La misteriosa fiamma della regina Loana,,Umberto Eco,21
5,9788845268960,http://www.wikidata.org/entity/Q1193601,Il cimitero di Praga,,Umberto Eco,21
6,9788845282065,http://www.wikidata.org/entity/Q19622413,Numero zero,,Umberto Eco,15
7,9788804665281,http://www.wikidata.org/entity/Q50857,Gomorra (romanzo),,Roberto Saviano,14
8,9788807880896,http://www.wikidata.org/entity/Q960929,Seta (romanzo),,Alessandro Baricco,12
9,9788806200503,http://www.wikidata.org/entity/Q1734076,Q (romanzo),,Luther Blissett,12
10,9788804577027,http://www.wikidata.org/entity/Q386293,La solitudine dei numeri primi,,Paolo Giordano,11
11,9788838910173,http://www.wikidata.org/entity/Q744835,La forma dell'acqua,,Andrea Camilleri,9
12,9788838919916,http://www.wikidata.org/entity/Q15845595,Assandira,,Giulio Angioni,9
13,9788806540159,http://www.wikidata.org/entity/Q1443497,"Se non ora, quando?",,Primo Levi,8
14,9788806222680,http://www.wikidata.org/entity/Q3791315,I sommersi e i salvati,,Primo Levi,8
15,9788807883040,http://www.wikidata.org/entity/Q1220988,Sostiene Pereira,,Antonio Tabucchi,8
16,9788806220778,http://www.wikidata.org/entity/Q20991677,I dodici abati di Challant,,Laura Mancinelli,8
17,9788838902550,http://www.wikidata.org/entity/Q2247431,Notturno indiano,,Antonio Tabucchi,7
18,9788817077651,http://www.wikidata.org/entity/Q1627168,Insciallah,,Oriana Fallaci,6
19,9788838912269,http://www.wikidata.org/entity/Q3793247,Il cane di terracotta,,Andrea Camilleri,6
20,9788807840395,http://www.wikidata.org/entity/Q2253999,Tre metri sopra il cielo,,Federico Moccia,6
21,9788806188672,http://www.wikidata.org/entity/Q924771,Io non ho paura,,Niccolò Ammaniti,5
22,9788806225773,http://www.wikidata.org/entity/Q3940771,Romanzo criminale,,Giancarlo De Cataldo,5
23,9788817035002,http://www.wikidata.org/entity/Q1073919,La forza della ragione,,Oriana Fallaci,5
24,9788817054065,http://www.wikidata.org/entity/Q2257334,La rabbia e l'orgoglio,,Oriana Fallaci,5
25,9788838913198,http://www.wikidata.org/entity/Q3794392,Il ladro di merendine,,Andrea Camilleri,5
26,9788838914058,http://www.wikidata.org/entity/Q3825071,La voce del violino,,Andrea Camilleri,5
27,9788804667599,http://www.wikidata.org/entity/Q2536327,L'ultima legione,,Valerio Massimo Manfredi,5
28,9788866320326,http://www.wikidata.org/entity/Q22263533,L'amica geniale,,Elena Ferrante,5
29,9788885989405,http://www.wikidata.org/entity/Q4007116,Va' dove ti porta il cuore,,Susanna Tamaro,5
30,9788804392705,http://www.wikidata.org/entity/Q1773799,Varcare la soglia della speranza,,John Paul II,5
31,9788804677048,http://www.wikidata.org/entity/Q536549,Nihal della terra del vento,,Licia Troisi,4
32,9788881124251,http://www.wikidata.org/entity/Q1939396,100 colpi di spazzola prima di andare a dormire,,Melissa Panarello,4
33,9788807883811,http://www.wikidata.org/entity/Q490547,Altri libertini,,Pier Vittorio Tondelli,4
34,9788815019806,http://www.wikidata.org/entity/Q5669239,Allegro ma non troppo,,Carlo M. Cipolla,4
35,9788806239619,http://www.wikidata.org/entity/Q3823893,La ricerca delle radici,,Primo Levi,4
36,9788811669135,http://www.wikidata.org/entity/Q3604900,Ad ora incerta,,Primo Levi,4
37,9788806238063,http://www.wikidata.org/entity/Q3818363,L'altrui mestiere,,Primo Levi,4
38,9788804668374,http://www.wikidata.org/entity/Q877418,Lezioni americane,,Italo Calvino,4
39,9788884519511,http://www.wikidata.org/entity/Q383191,L'ultimo elfo,,Silvana De Mari,4
40,9788804469070,http://www.wikidata.org/entity/Q18602097,Severina,,Ignazio Silone,4
41,9788838917295,http://www.wikidata.org/entity/Q3727576,L'odore della notte,,Andrea Camilleri,4
42,9788804592372,http://www.wikidata.org/entity/Q3163622,Volevo i pantaloni,,Lara Cardella,4
43,9788866326410,http://www.wikidata.org/entity/Q41663526,I giorni dell'abbandono,,Elena Ferrante,4
44,9788845251702,http://www.wikidata.org/entity/Q2679025,Nuova grammatica finlandese,,Diego Marani,4
45,9788845931925,http://www.wikidata.org/entity/Q56290576,L'ordine del tempo,,Carlo Rovelli,4
46,9788817080767,http://www.wikidata.org/entity/Q3823045,La masseria delle allodole,,Antonia Arslan,4
47,9788881552351,http://www.wikidata.org/entity/Q2420062,Il cavallo rosso,,Eugenio Corti,4
48,9788807880513,http://www.wikidata.org/entity/Q3824615,La testa perduta di Damasceno Monteiro,,Antonio Tabucchi,4
49,9788806173241,http://www.wikidata.org/entity/Q4003883,Un infinito numero,,Sebastiano Vassalli,4
50,9788845274879,http://www.wikidata.org/entity/Q2986194,Il secondo diario minimo,,Umberto Eco,4
51,9788806206802,http://www.wikidata.org/entity/Q3801159,Io e te,,Niccolò Ammaniti,3
52,9788806224639,http://www.wikidata.org/entity/Q3684045,Come Dio comanda,,Niccolò Ammaniti,3
53,9788807883026,http://www.wikidata.org/entity/Q3349045,Oceano mare,,Alessandro Baricco,3
54,9788807881435,http://www.wikidata.org/entity/Q548338,"Omero, Iliade",,Alessandro Baricco,3
55,9788807880872,http://www.wikidata.org/entity/Q729000,Castelli di rabbia,,Alessandro Baricco,3
56,9788804671701,http://www.wikidata.org/entity/Q3210739,La missione di Sennar,,Licia Troisi,3
57,9788845907296,http://www.wikidata.org/entity/Q2492226,Una storia semplice,,Leonardo Sciascia,3
58,9788804546757,http://www.wikidata.org/entity/Q2525285,Canale Mussolini,,Antonio Pennacchi,3
59,9783499154850,http://www.wikidata.org/entity/Q3597882,1934 (romanzo),,Alberto Moravia,3
60,9788838915741,http://www.wikidata.org/entity/Q3822556,La gita a Tindari,,Andrea Camilleri,3
61,9788838919985,http://www.wikidata.org/entity/Q678685,La pazienza del ragno,,Andrea Camilleri,3
62,9788804704621,http://www.wikidata.org/entity/Q1215353,La pensione Eva,,Andrea Camilleri,3
63,9788838922169,http://www.wikidata.org/entity/Q3823596,La pista di sabbia,,Andrea Camilleri,3
64,9788804427810,http://www.wikidata.org/entity/Q3824648,La torre della solitudine,,Valerio Massimo Manfredi,3
65,9788804667568,http://www.wikidata.org/entity/Q3796059,Il tiranno,,Valerio Massimo Manfredi,3
66,9788804456063,http://www.wikidata.org/entity/Q3793959,Il figlio del sogno,,Valerio Massimo Manfredi,3
67,9788804509691,http://www.wikidata.org/entity/Q3829058,Le sabbie di Amon,,Valerio Massimo Manfredi,3
68,9788804456087,http://www.wikidata.org/entity/Q3793571,Il confine del mondo,,Valerio Massimo Manfredi,3
69,9788804667162,http://www.wikidata.org/entity/Q3819242,L'impero dei draghi,,Valerio Massimo Manfredi,3
70,9788817015158,http://www.wikidata.org/entity/Q3953393,Scusa ma ti chiamo amore,,Federico Moccia,3
71,9788807720352,http://www.wikidata.org/entity/Q3786064,Ho voglia di te,,Federico Moccia,3
72,9788866321811,http://www.wikidata.org/entity/Q24938321,Storia del nuovo cognome,,Elena Ferrante,3
73,9788866324119,http://www.wikidata.org/entity/Q55517451,Storia di chi fugge e di chi resta,,Elena Ferrante,3
74,9788833571683,http://www.wikidata.org/entity/Q99165507,La vita bugiarda degli adulti,,Elena Ferrante,3
75,9788804495802,http://www.wikidata.org/entity/Q4014918,Vita standard di un venditore provvisorio di collant,,Aldo Busi,3
76,9788817073516,http://www.wikidata.org/entity/Q3955049,Seminario sulla Gioventù,,Aldo Busi,3
77,9788817080620,http://www.wikidata.org/entity/Q3963922,Sodomie in corpo 11,,Aldo Busi,3
78,9788845214189,http://www.wikidata.org/entity/Q3819865,L'ultimo dei Vostiachi,,Diego Marani,3
79,9788845929250,http://www.wikidata.org/entity/Q24939853,Sette brevi lezioni di fisica,,Carlo Rovelli,3
80,9788806171247,http://www.wikidata.org/entity/Q1799527,Stabat Mater,,Tiziano Scarpa,3
81,9788804528821,http://www.wikidata.org/entity/Q3340305,"Nicolas Eymerich, inquisitore",,Valerio Evangelisti,3
82,9788804324263,http://www.wikidata.org/entity/Q3822646,La grande sera,,Giuseppe Pontiggia,3
83,9788806189464,http://www.wikidata.org/entity/Q17354844,L'arte della gioia,,Goliarda Sapienza,3
84,9788804613893,http://www.wikidata.org/entity/Q3828993,Le prime luci del mattino,,Fabio Volo,3
85,9788806218126,http://www.wikidata.org/entity/Q20009713,La regola dell'equilibrio,,Gianrico Carofiglio,3
86,9788806220754,http://www.wikidata.org/entity/Q3599350,54 (romanzo),,Wu Ming,3
87,9788863551693,http://www.wikidata.org/entity/Q3829012,Le radici del cielo,,Tullio Avoledo,3
88,9788804573708,http://www.wikidata.org/entity/Q4009790,Venuto al mondo,,Margaret Mazzantini,2
89,9788807018626,http://www.wikidata.org/entity/Q3866828,Mr Gwyn,,Alessandro Baricco,2
90,9788807882807,http://www.wikidata.org/entity/Q2974547,City (romanzo),,Alessandro Baricco,2
91,9788804639626,http://www.wikidata.org/entity/Q30890884,Pandora (Licia Troisi),,Licia Troisi,2
92,9788804671763,http://www.wikidata.org/entity/Q3227517,Il talismano del potere,,Licia Troisi,2
93,9788804591887,http://www.wikidata.org/entity/Q1851872,L'eredità di Thuban,,Licia Troisi,2
94,9788804596332,http://www.wikidata.org/entity/Q3793751,Il destino di Adhara,,Licia Troisi,2
95,9788874520954,http://www.wikidata.org/entity/Q26257498,Mal di pietre,,Milena Agus,2
96,9788811670698,http://www.wikidata.org/entity/Q3702419,Danubio (romanzo),,Claudio Magris,2
97,9788804680338,http://www.wikidata.org/entity/Q3663958,Cave canem (romanzo),,Danila Comastri Montanari,2
98,9788806548414,http://www.wikidata.org/entity/Q2859389,Aracoeli,,Elsa Morante,2
99,9788806138868,http://www.wikidata.org/entity/Q3829100,Le stagioni di Giacomo,,Mario Rigoni Stern,2
100,9788817061841,http://www.wikidata.org/entity/Q3822906,La lunga vita di Marianna Ucrìa,,Dacia Maraini,2
101,9788807880858,http://www.wikidata.org/entity/Q3846933,Margherita Dolcevita,,Stefano Benni,2
102,9788807886713,http://www.wikidata.org/entity/Q3634462,Baol,,Stefano Benni,2
103,9788807882234,http://www.wikidata.org/entity/Q3783029,Terra!,,Stefano Benni,2
104,9788845903182,http://www.wikidata.org/entity/Q3793388,Il cavaliere e la morte,,Leonardo Sciascia,2
