,title,0,af,als,az,bar,br,bs,ca,cbk-zam,co,cs,cy,da,de,diq,eml,en,eo,es,et,eu,fi,fr,fy,ga,gl,hr,ht,hu,ia,id,ie,ig,io,is,it,jam,la,lb,lfn,lmo,lt,lv,ms,nap,nb,nl,nn,nov,pl,pt,ro,ru,sc,scn,sh,simple,sk,sl,sq,sv,tl,tr,uz,war,Total,mean
0,100 colpi di spazzola prima di andare a dormire,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,16.25
1,1934 (romanzo),1.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,14.933333333333334
2,54 (romanzo),1.0,,,,,,,,,,,,,,,,19.0,,4.0,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,21.75
3,9 agosto 378. Il giorno dei barbari,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.2666666666666666
4,Accabadora,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,7.466666666666667
5,Acciaio (romanzo),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,10.0
6,Ad occhi chiusi,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.75
7,Ad ora incerta,1.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,23.333333333333336
8,Almost Blue (romanzo),1.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,7.933333333333333
9,Altri libertini,1.0,,,,,,,,,,,,,12.0,,,6.0,,,,,,6.0,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,16.657142857142855
10,Aracoeli,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.375
11,Assandira,1.0,,,,,,,4.0,,,,,1.0,1.0,,,8.0,,3.0,,,,4.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,35.0,6.125
12,Baol,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,18.125
13,Baudolino,1.0,,,,,,,,,,10.0,,,53.0,,,85.0,,23.0,,,,34.0,,,,7.0,,6.0,,11.0,,,,,79.0,,,,,,,,,,5.0,11.0,,,15.0,9.0,4.0,,,,,,10.0,,,2.0,,6.0,,,371.0,38.13055555555555
14,"Bianca come il latte, rossa come il sangue",1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,13.066666666666666
15,Canale Mussolini,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,27.0,12.6
16,Caos calmo (Romanzo),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,22.5
